,overall
73588,1
73589,5
73590,5
73591,5
73592,5
73593,4
73594,1
73595,5
73596,4
73600,1
73601,4
73604,3
73605,3
73607,5
73608,2
73610,2
73615,5
73622,5
73626,4
73627,4
73628,5
73629,4
73630,4
73631,5
73633,5
73635,5
73636,3
73637,5
73640,5
73643,5
73644,1
73645,2
73646,3
73648,3
73650,2
73651,5
73652,5
73653,4
73654,5
73655,5
73657,5
73659,4
73660,5
73662,4
73665,3
73666,1
73667,2
73669,4
73670,4
73679,5
73681,5
73682,5
73684,5
73685,5
73686,4
73688,2
73693,3
73695,5
73696,1
73697,5
73698,4
73701,4
73703,5
73704,5
73705,5
73706,4
73707,4
73709,5
73711,5
73712,5
73720,3
73727,4
73729,4
73732,4
73734,4
73735,5
73736,5
73737,4
73738,5
73742,3
73744,3
73750,4
73751,1
73755,2
73759,5
73769,5
73771,5
73772,5
73776,2
73777,5
73778,5
73779,1
73780,4
73781,5
73782,4
73787,5
73789,5
73790,5
73791,5
73792,2
73794,5
73795,4
73798,2
73799,1
73800,5
73804,3
73810,5
73811,5
73812,5
73813,5
73814,5
73816,3
73817,5
73822,3
73823,5
73825,5
73829,3
73830,3
73836,4
73839,5
73840,2
73845,5
73850,4
73852,5
73853,5
73854,5
73859,2
73861,5
73862,4
73863,5
73864,1
73866,3
73867,5
73868,3
73870,5
73873,5
73878,1
73879,5
73880,5
73881,1
73882,5
73883,2
73884,2
73885,3
73887,4
73888,3
73890,1
73891,1
73892,1
73894,4
73895,3
73896,1
73897,5
73899,1
73900,5
73903,5
73909,5
73912,5
73913,4
73914,5
73915,5
73916,5
73917,4
73919,4
73921,5
73924,4
73925,5
73926,5
73929,5
73930,5
73936,3
73940,5
73942,5
73943,5
73944,4
73946,5
73947,1
73948,1
73949,1
73950,4
73951,5
73952,5
73953,5
73954,5
73955,5
73956,5
73957,5
73958,5
73959,3
73960,4
73961,4
73962,5
73963,5
73964,4
73965,3
73966,5
73967,5
73968,5
73969,5
73970,4
73972,5
73973,5
73974,3
73975,4
73977,5
73978,5
73979,5
73980,4
73981,5
73984,4
73985,5
73987,5
73988,5
73989,5
73990,4
73991,5
73992,5
73993,5
73995,5
73996,3
73997,5
73998,2
73999,2
74000,3
74001,1
74004,3
74006,5
74007,5
74008,4
74009,4
74011,5
74012,4
74013,5
74015,5
74016,5
74017,5
74019,5
74020,5
74021,4
74022,4
74023,4
74028,5
74031,5
74033,4
74034,5
74036,2
74037,5
74038,4
74045,3
74047,5
74050,5
74051,5
74053,5
74054,5
74056,5
74058,5
74060,4
74065,5
74066,5
74069,5
74070,5
74071,5
74074,5
74075,4
74078,5
74079,5
74080,5
74081,5
74083,5
74089,5
74091,5
74094,5
74097,5
74102,5
74107,5
74108,5
74111,5
74112,5
74114,3
74115,3
74117,5
74119,5
74122,5
74123,5
74124,4
74125,5
74126,4
74127,3
74128,5
74130,5
74132,5
74133,5
74135,5
74136,5
74137,5
74140,4
74141,2
74142,3
74143,2
74147,4
74149,5
74151,4
74155,5
74163,5
74167,5
74169,5
74180,5
74187,5
74188,5
74192,5
74198,5
74199,5
74200,5
74203,5
74204,5
74205,5
74206,5
74207,3
74211,4
74215,4
74218,4
74219,4
74221,1
74226,4
74228,5
74229,4
74230,5
74232,5
74237,5
74240,4
74242,2
74244,4
74246,2
74249,4
74250,5
74252,5
74256,2
74257,4
74259,5
74261,5
74262,5
74263,3
74266,2
74268,5
74270,4
74271,5
74273,5
74274,5
74275,5
74279,4
74280,3
74283,5
74285,4
74286,4
74288,5
74289,4
74293,5
74294,3
74295,5
74297,5
74298,5
74304,5
74305,5
74308,1
74309,5
74310,4
74311,3
74312,5
74313,3
74315,5
74316,3
74317,3
74318,5
74319,5
74320,5
74321,4
74322,5
74323,3
74324,5
74325,4
74327,5
74328,2
74329,2
74330,5
74331,3
74332,3
74334,5
74352,4
74353,5
74354,4
74357,5
74358,5
74359,4
74360,5
74362,2
74363,4
74364,4
74365,5
74368,4
74373,5
74374,5
74379,5
74380,5
74390,5
74391,5
74393,5
74395,3
74396,4
74397,4
74399,5
74400,5
74401,4
74403,4
74404,3
74405,3
74406,4
74409,5
74412,4
74415,5
74416,3
74417,4
74425,4
74428,5
74430,5
74434,4
74435,5
74437,5
74438,4
74439,1
74440,4
74444,3
74445,5
74446,5
74447,5
74448,5
74449,5
74450,5
74454,5
74455,5
74456,3
74459,5
74460,5
74461,1
74462,5
74465,5
74466,5
74467,5
74468,4
74469,4
74471,5
74477,4
74479,5
74480,5
74483,5
74484,5
74485,5
74486,5
74487,5
74488,4
74489,5
74490,5
74491,4
74492,5
74493,5
74494,4
74496,4
74497,5
74498,3
74499,5
74501,5
74502,5
74504,5
74506,4
74507,3
74508,4
74524,5
74526,3
74527,5
74528,5
74529,4
74532,5
74544,4
74545,5
74551,5
74559,5
74561,4
74562,5
74563,5
74564,2
74565,4
74566,5
74571,5
74574,3
74575,4
74578,3
74580,5
74581,3
74582,4
74583,3
74585,5
74586,4
74587,4
74588,4
74589,2
74590,4
74591,5
74593,1
74594,5
74599,5
74601,5
74606,5
74609,5
74611,5
74621,5
74623,2
74624,5
74625,1
74627,2
74629,3
74630,3
74631,2
74632,4
74634,5
74635,2
74636,5
74637,5
74639,3
74640,5
74641,4
74642,5
74643,5
74644,5
74646,5
74647,5
74648,5
74649,5
74650,4
74651,4
74652,5
74655,3
74658,4
74659,5
74665,5
74666,4
74668,5
74670,5
74671,4
74674,5
74678,4
74679,5
74680,5
74682,5
74683,5
74685,4
74687,5
74688,5
74689,5
74690,5
74691,3
74692,4
74693,5
74695,5
74696,5
74697,5
74698,5
74700,5
74701,5
74702,5
74703,5
74704,5
74705,4
74706,5
74708,4
74710,5
74711,1
74712,5
74713,4
74717,5
74718,5
74719,5
74721,5
74723,5
74724,5
74725,5
74726,3
74728,5
74732,4
74734,4
74735,5
74737,5
74738,5
74742,5
74743,1
74744,5
74745,5
74747,5
74749,5
74753,5
74759,4
74761,5
74762,4
74764,4
74765,5
74766,5
74767,1
74772,1
74773,5
74775,4
74776,2
74778,5
74779,5
74780,3
74781,4
74782,5
74783,5
74784,1
74785,5
74786,4
74787,5
74788,5
74789,2
74790,5
74791,5
74793,5
74794,4
74795,5
74796,5
74797,5
74798,5
74801,5
74802,5
74803,5
74805,5
74807,5
74808,5
74809,5
74810,5
74811,5
74812,5
74813,5
74815,5
74816,5
74818,5
74819,5
74820,5
74821,5
74822,5
74824,5
74827,4
74829,5
74830,5
74831,5
74833,4
74835,5
74836,5
74837,5
74840,5
74841,5
74842,5
74844,5
74845,4
74848,5
74851,5
74852,5
74855,5
74856,5
74858,5
74859,5
74860,5
74861,5
74863,5
74865,5
74866,5
74867,5
74868,5
74869,5
74870,5
74871,5
74872,5
74873,5
74874,5
74875,4
74876,4
74877,5
74878,5
74879,4
74880,5
74881,5
74883,4
74884,5
74885,4
74886,5
74887,4
74888,5
74889,5
74890,5
74892,5
74895,5
74896,5
74897,5
74898,3
74899,4
74900,5
74901,5
74904,5
74906,5
74907,4
74908,5
74911,5
74912,5
74913,4
74918,5
74922,5
74924,4
74929,4
74931,5
74934,5
74935,5
74938,5
74939,5
74940,5
74941,4
74942,5
74943,4
74944,5
74946,3
74947,5
74948,5
74949,5
74950,5
74951,5
74952,4
74953,5
74954,5
74955,3
74956,5
74957,5
74958,5
74960,5
74961,4
74963,4
74964,4
74965,5
74966,3
74967,4
74968,3
74970,2
74971,4
74972,3
74973,5
74976,4
74977,2
74978,4
74979,1
74980,4
74981,4
74982,5
74985,4
74986,5
74987,3
74988,5
74989,5
74991,5
74993,3
74998,5
75000,4
75001,5
75002,5
75003,5
75004,5
75006,5
75009,5
75010,3
75011,5
75014,4
75021,1
75023,2
75024,5
75025,5
75027,5
75028,3
75029,5
75030,5
75031,3
75033,3
75034,5
75036,4
75040,5
75042,5
75044,5
75045,5
75046,5
75049,4
75051,5
75052,5
75053,5
75054,5
75055,5
75056,2
75058,5
75059,1
75061,1
75065,5
75068,5
75071,5
75077,3
75080,4
75081,4
75082,1
75083,2
75085,5
75086,4
75087,3
75088,4
75089,5
75091,1
75092,5
75093,4
75094,3
75095,2
75096,4
75097,2
75099,5
75100,5
75101,4
75102,5
75103,5
75104,5
75106,5
75110,4
75112,5
75116,5
75117,5
75118,5
75125,2
75126,4
75127,5
75128,3
75129,5
75130,5
75131,4
75132,5
75133,5
75134,5
75135,3
75137,5
75139,4
75140,5
75141,4
75143,5
75145,4
75146,5
75147,4
75148,5
75150,5
75152,4
75153,4
75157,5
75160,5
75162,5
75163,4
75164,4
75165,5
75168,5
75170,3
75171,3
75172,5
75177,4
75178,4
75187,5
75190,4
75194,5
75206,1
75210,1
75215,2
75218,5
75225,4
75227,5
75229,4
75234,2
75237,3
75239,2
75241,5
75246,5
75251,5
75256,4
75260,1
75264,5
75265,4
75280,5
75284,3
75296,5
75310,4
75314,2
75317,5
75333,5
75335,4
75338,4
75348,5
75353,5
75355,2
75363,4
75368,5
75375,5
75376,4
75388,4
75392,3
75396,5
75397,5
75399,5
75401,5
75402,5
75403,4
75404,4
75406,5
75408,4
75409,5
75410,4
75413,5
75414,3
75415,5
75417,5
75418,4
75419,5
75420,4
75422,4
75423,2
75424,5
75425,4
75426,3
75429,4
75435,5
75437,5
75440,1
75441,3
75444,5
75445,3
75446,4
75448,5
75455,5
75457,4
75458,2
75460,5
75461,5
75465,5
75467,2
75468,4
75469,4
75471,5
75472,5
75473,2
75474,5
75475,2
75476,5
75477,5
75478,5
75481,3
75486,5
75487,1
75488,2
75494,5
75495,4
75496,5
75497,5
75499,5
75500,3
75501,5
75506,5
75510,5
75515,5
75516,4
75517,5
75519,5
75520,5
75521,5
75522,5
75525,4
75528,5
75530,5
75531,4
75532,4
75535,5
75536,3
75539,4
75540,4
75543,4
75545,5
75549,5
75551,5
75552,5
75557,5
75558,5
75559,5
75560,5
75561,5
75563,5
75564,3
75565,4
75566,5
75567,5
75568,4
75569,5
75570,5
75571,4
75572,5
75573,5
75574,5
75575,4
75576,5
75577,5
75578,5
75579,5
75582,4
75586,4
75587,5
75589,4
75590,4
75591,3
75593,3
75597,5
75599,5
75601,5
75602,3
75603,4
75604,4
75605,4
75608,5
75609,5
75610,5
75612,5
75613,4
75614,4
75615,4
75616,5
75617,5
75618,4
75621,5
75626,4
75628,5
75632,4
75633,5
75636,5
75637,5
75638,5
75639,5
75641,5
75644,3
75645,5
75646,5
75647,5
75649,5
75651,5
75656,4
75657,4
75660,3
75662,5
75663,3
75669,5
75670,5
75671,5
75673,1
75679,4
75680,4
75682,5
75683,3
75686,4
75688,4
75689,5
75690,5
75691,3
75692,4
75693,2
75694,1
75695,4
75696,5
75697,4
75698,4
75699,4
75701,5
75702,4
75703,5
75706,5
75709,4
75710,5
75714,2
75717,3
75718,3
75719,5
75720,5
75724,5
75726,5
75727,5
75728,5
75730,5
75731,5
75733,5
75734,5
75736,4
75737,4
75738,5
75739,5
75740,5
75741,5
75742,5
75745,5
75746,5
75747,5
75748,4
75749,5
75750,5
75752,5
75754,5
75756,5
75757,5
75758,5
75763,3
75772,5
75774,5
75775,4
75776,5
75777,5
75779,5
75781,2
75783,5
75785,1
75786,4
75787,3
75788,4
75789,4
75791,4
75792,5
75793,5
75795,5
75797,1
75799,5
75800,5
75801,4
75802,1
75803,5
75805,5
75806,1
75807,5
75808,5
75809,5
75810,5
75811,5
75812,5
75823,5
75826,5
75827,4
75830,5
75832,5
75833,5
75834,5
75835,5
75836,5
75837,5
75839,5
75840,5
75841,5
75844,5
75846,5
75847,4
75848,5
75850,5
75851,5
75852,5
75854,5
75855,5
75856,5
75859,5
75862,5
75864,5
75870,5
75871,5
75873,5
75874,5
75876,5
75879,5
75882,5
75887,5
75891,5
75895,5
75896,5
75897,5
75898,5
75900,5
75902,5
75904,5
75905,5
75906,5
75908,4
75909,5
75911,1
75914,5
75915,5
75918,4
75921,5
75924,5
75925,2
75926,4
75928,5
75930,5
75932,5
75934,5
75935,5
75936,5
75938,4
75939,5
75940,3
75941,5
75943,4
75944,5
75945,5
75946,4
75947,5
75948,5
75949,5
75951,5
75953,5
75954,5
75955,5
75956,3
75957,5
75958,5
75959,5
75960,5
75961,5
75962,5
75963,5
75964,5
75965,5
75966,5
75967,5
75968,5
75969,5
75970,5
75971,5
75972,3
75973,5
75976,5
75978,5
75980,5
75981,5
75983,2
75985,5
75987,5
75989,5
75990,5
75991,5
75992,3
75993,5
75994,5
75996,5
76000,5
76001,5
76002,5
76004,5
76008,5
76010,5
76015,4
76016,5
76017,5
76025,5
76027,5
76030,5
76033,5
76039,5
76040,5
76043,5
76044,4
76046,5
76047,3
76048,5
76050,5
76051,5
76053,5
76054,5
76055,5
76056,5
76057,5
76058,5
76059,5
76060,5
76061,4
76062,1
76064,5
76065,5
76068,5
76069,2
76075,5
76076,5
76078,5
76079,5
76082,5
76083,5
76084,5
76085,5
76086,5
76088,5
76089,5
76090,5
76091,5
76093,5
76097,5
76103,4
76106,5
76108,5
76110,3
76111,5
76117,5
76118,5
76120,3
76121,5
76123,5
76124,5
76125,5
76129,5
76135,5
76136,4
76137,5
76138,5
76139,5
76141,5
76142,5
76145,5
76147,4
76148,5
76149,4
76153,4
76154,5
76155,5
76156,5
76157,5
76158,5
76159,5
76160,5
76163,5
76164,5
76168,5
76169,4
76170,5
76171,3
76173,5
76174,5
76178,5
76179,4
76180,3
76182,1
76183,4
76186,5
76187,5
76188,3
76190,5
76194,2
76197,5
76198,5
76199,4
76200,5
76201,5
76206,5
76207,5
76208,3
76212,5
76214,4
76218,3
76220,4
76224,5
76227,5
76231,5
76234,5
76247,5
76249,5
76251,5
76253,5
76257,5
76260,4
76261,1
76262,5
76266,5
76267,5
76268,5
76271,2
76272,5
76276,4
76277,5
76278,5
76279,5
76286,5
76288,5
76291,5
76292,4
76293,3
76294,5
76296,5
76298,5
76301,5
76302,4
76304,4
76305,5
76312,5
76314,5
76317,5
76318,3
76319,3
76320,5
76322,4
76323,5
76326,5
76327,5
76328,5
76329,5
76331,5
76333,5
76335,5
76337,4
76338,5
76339,5
76343,3
76344,5
76347,5
76348,3
76350,4
76351,5
76352,4
76354,5
76357,5
76359,5
76360,5
76361,4
76362,5
76363,5
76364,2
76366,5
76367,5
76370,5
76371,5
76372,5
76373,5
76374,5
76376,3
76377,5
76379,5
76380,5
76384,5
76385,5
76388,4
76389,5
76391,5
76392,5
76393,5
76395,5
76396,5
76397,5
76398,5
76399,5
76400,5
76401,3
76402,5
76403,4
76404,4
76405,5
76406,5
76407,5
76410,5
76411,5
76412,4
76413,5
76417,5
76420,5
76427,4
76430,3
76431,5
76434,5
76435,2
76436,5
76437,5
76439,4
76440,5
76441,5
76442,5
76443,5
76444,4
76445,5
76447,4
76449,4
76450,5
76452,4
76453,5
76454,5
76455,5
76458,5
76459,5
76460,5
76461,5
76462,4
76464,5
76465,5
76466,5
76467,3
76468,4
76469,1
76470,5
76472,5
76473,4
76474,4
76475,5
76478,2
76484,5
76485,5
76488,5
76490,4
76491,4
76492,5
76493,5
76494,5
76495,5
76496,4
76497,3
76499,5
76500,4
76501,5
76502,5
76503,5
76510,4
76518,5
76519,1
76522,5
76523,5
76524,4
76525,4
76527,4
76528,3
76529,3
76530,4
76531,5
76533,5
76535,4
76536,5
76537,5
76538,4
76539,3
76540,5
76541,5
76542,3
76543,5
76544,5
76546,5
76547,5
76548,5
76549,5
76550,5
76552,5
76555,5
76557,5
76558,5
76559,4
76561,4
76562,5
76565,5
76567,5
76568,2
76569,4
76571,4
76572,3
76573,5
76574,5
76575,4
76576,5
76577,5
76578,5
76580,5
76582,5
76583,5
76584,5
76586,5
76587,5
76588,5
76590,5
76593,5
76595,5
76597,5
76599,5
76601,5
76603,5
76604,5
76605,3
76607,4
76610,4
76612,4
76614,1
76615,5
76616,2
76621,5
76622,5
76623,5
76626,4
76627,5
76629,5
76631,5
76634,4
76636,4
76637,3
76640,5
76641,5
76644,5
76645,2
76646,4
76647,4
76648,4
76650,5
76651,5
76652,5
76654,5
76655,4
76656,5
76658,5
76659,2
76660,3
76664,5
76665,5
76666,5
76667,5
76668,5
76669,5
76671,5
76673,5
76676,5
76677,5
76679,4
76680,5
76681,5
76682,3
76683,5
76686,3
76688,5
76689,5
76691,5
76694,4
76697,5
76698,5
76699,5
76700,5
76702,4
76703,5
76705,3
76706,4
76707,4
76708,5
76709,5
76711,5
76712,5
76713,4
76715,4
76716,4
76717,5
76719,5
76721,5
76723,5
76724,5
76727,2
76728,5
76729,4
76730,5
76732,5
76733,5
76740,4
76744,5
76745,3
76746,4
76748,5
76749,5
76753,5
76754,3
76755,4
76757,5
76761,5
76762,1
76770,5
76773,4
76775,5
76777,5
76778,5
76779,5
76783,5
76784,4
76785,4
76786,1
76787,4
76788,5
76789,4
76790,5
76793,5
76794,4
76795,4
76798,5
76800,5
76801,4
76804,4
76805,3
76807,4
76808,5
76809,5
76812,5
76813,5
76814,4
76815,5
76817,5
76818,5
76820,5
76821,5
76822,4
76823,5
76824,5
76825,5
76826,5
76827,5
76829,5
76831,5
76833,4
76837,5
76839,5
76841,3
76842,5
76843,5
76852,5
76853,3
76856,5
76858,5
76860,5
76862,5
76865,5
76866,5
76867,5
76869,5
76872,5
76874,5
76875,3
76876,5
76877,5
76879,5
76880,5
76881,5
76882,5
76883,2
76884,5
76886,5
76887,1
76891,5
76892,5
76894,4
76895,5
76897,5
76898,4
76902,5
76908,5
76910,5
76912,4
76914,4
76916,5
76918,5
76919,2
76920,5
76924,5
76925,5
76926,5
76929,5
76930,5
76937,5
76940,5
76942,5
76946,5
76947,5
76948,4
76954,5
76959,5
76965,5
76970,5
76971,5
76977,5
76979,5
76998,5
76999,5
77005,5
77006,4
77007,5
77009,5
77010,4
77011,5
77012,5
77014,5
77015,4
77016,5
77017,5
77018,5
77020,5
77021,5
77022,4
77023,3
77026,4
77027,5
77028,5
77029,5
77031,1
77032,2
77033,1
77034,5
77035,5
77037,5
77038,5
77040,5
77043,1
77046,5
77048,3
77049,5
77051,3
77053,5
77057,5
77058,3
77059,4
77061,5
77062,5
77063,5
77064,5
77068,5
77069,5
77070,5
77071,5
77072,5
77076,3
77079,4
77080,5
77090,5
77092,5
77095,5
77096,5
77097,4
77098,3
77099,4
77100,5
77102,5
77103,2
77104,5
77105,4
77106,4
77107,5
77108,5
77110,5
77112,5
77114,5
77115,3
77120,5
77121,3
77122,5
77123,4
77124,5
77127,2
77128,4
77130,4
77131,5
77132,5
77133,5
77135,4
77138,4
77139,5
77155,5
77158,5
77161,5
77163,5
77166,5
77167,5
77178,5
77198,5
77200,5
77206,5
77208,5
77209,5
77210,5
77213,5
77214,5
77215,5
77217,5
77219,5
77221,3
77222,5
77223,5
77224,5
77225,5
77226,5
77227,5
77230,5
77231,5
77232,5
77233,5
77234,5
77235,5
77236,5
77237,5
77238,5
77239,4
77241,5
77243,3
77244,1
77247,5
77248,4
77249,5
77252,2
77256,3
77257,2
77265,4
77269,5
77273,5
77274,3
77279,1
77280,5
77282,5
77283,5
77285,5
77286,5
77287,1
77288,5
77290,4
77292,5
77293,5
77294,5
77302,5
77312,5
77314,5
77319,5
77321,5
77322,5
77323,5
77324,5
77325,5
77327,5
77331,5
77336,5
77338,5
77343,5
77344,5
77345,5
77347,4
77351,5
77355,5
77357,5
77359,5
77360,5
77361,4
77363,5
77365,4
77366,5
77367,5
77368,5
77370,5
77371,5
77372,5
77373,5
77374,5
77376,5
77377,5
77378,5
77379,5
77381,3
77382,5
77383,5
77387,4
77388,3
77390,5
77391,5
77394,5
77396,5
77399,4
77400,5
77402,1
77403,3
77404,5
77406,3
77407,4
77410,5
77411,5
77413,5
77416,5
77417,5
77419,5
77421,5
77422,5
77423,5
77424,5
77425,4
77426,2
77427,5
77428,4
77431,5
77432,4
77433,5
77434,5
77436,5
77441,5
77442,5
77443,5
77446,5
77447,5
77448,4
77449,5
77450,5
77451,5
77453,5
77454,3
77455,4
77456,2
77457,5
77458,1
77460,4
77463,5
77464,1
77465,4
77469,1
77470,4
77473,5
77474,3
77477,4
77478,5
77481,4
77482,3
77483,5
77484,5
77485,5
77486,5
77489,3
77490,5
77492,5
77493,5
77494,5
77495,5
77496,5
77497,5
77498,5
77499,5
77501,5
77502,5
77503,4
77505,5
77519,5
77520,5
77521,5
77522,5
77523,5
77524,5
77525,5
77526,2
77529,3
77530,4
77531,5
77536,5
77537,5
77538,4
77540,5
77551,5
77553,5
77554,5
77555,2
77560,5
77565,4
77575,1
77579,5
77580,5
77583,5
77584,5
77586,5
77587,5
77588,5
77590,4
77591,5
77592,5
77594,5
77595,5
77596,3
77600,2
77601,5
77605,1
77607,1
77608,5
77610,5
77611,5
77613,5
77614,5
77616,5
77617,1
77618,4
77619,3
77620,4
77621,3
77622,3
77623,5
77624,5
77625,1
77626,4
77627,5
77628,5
77633,5
77634,5
77638,4
77639,5
77641,5
77643,5
77644,5
77645,5
77646,4
77647,4
77648,4
77652,4
77654,5
77656,5
77658,5
77659,5
77661,5
77665,5
77666,5
77668,5
77680,4
77684,5
77686,5
77688,1
77689,5
77690,5
77692,5
77694,5
77695,5
77696,5
77697,5
77699,3
77706,5
77707,5
77709,5
77711,5
77712,5
77715,5
77720,5
77721,5
77723,5
77725,2
77727,4
77728,5
77730,5
77732,1
77734,5
77736,5
77737,4
77739,5
77740,5
77743,4
77745,5
77748,4
77749,3
77750,3
77753,5
77754,1
77755,2
77756,3
77759,5
77762,1
77765,3
77768,3
77775,5
77777,4
77778,5
77779,4
77780,3
77786,5
77787,3
77793,3
77794,5
77803,5
77807,5
77808,4
77809,5
77810,5
77811,4
77812,4
77814,4
77817,5
77819,5
77820,3
77821,4
77822,4
77823,3
77824,1
77825,3
77826,5
77827,5
77828,4
77829,1
77830,4
77831,3
77832,5
77833,4
77834,5
77835,4
77836,4
77837,4
77838,5
77839,5
77840,5
77843,4
77844,4
77848,1
77849,5
77852,5
77854,5
77855,5
77858,5
77860,3
77862,5
77863,5
77864,5
77865,4
77867,1
77868,3
77869,5
77870,5
77871,5
77872,5
77873,5
77874,1
77875,5
77878,4
77879,3
77882,5
77884,5
77885,5
77887,5
77889,5
77890,4
77891,3
77892,5
77893,5
77894,5
77895,5
77896,5
77899,3
77900,4
77901,5
77903,5
77905,5
77906,2
77907,5
77909,5
77913,5
77914,5
77915,5
77918,5
77919,5
77924,5
77926,5
77927,4
77939,5
77945,5
77947,5
77948,5
77949,4
77950,4
77953,5
77955,5
77956,5
77958,5
77959,4
77960,5
77962,5
77965,5
77966,5
77967,4
77968,5
77975,5
77978,5
77979,4
77981,5
77984,5
77986,5
77988,5
77991,3
77994,5
77996,3
77997,1
77998,5
78000,5
78001,4
78003,5
78004,5
78005,5
78006,5
78008,5
78009,5
78011,5
78012,5
78017,5
78019,5
78031,5
78032,2
78037,5
78038,4
78039,4
78041,2
78042,4
78044,5
78046,5
78048,5
78049,5
78053,5
78054,1
78055,5
78057,4
78058,5
78059,5
78060,1
78067,5
78069,5
78070,4
78073,5
78074,2
78075,5
78076,5
78086,5
78087,5
78088,5
78089,2
78090,3
78091,5
78092,5
78093,5
78094,5
78095,5
78097,1
78098,5
78099,1
78100,5
78102,5
78103,5
78104,5
78105,4
78106,2
78107,5
78109,5
78111,5
78114,5
78115,1
78116,5
78117,5
78119,5
78121,5
78123,5
78124,1
78125,5
78126,5
78128,5
78129,5
78134,5
78135,5
78136,5
78140,5
78143,3
78144,5
78146,4
78147,4
78148,5
78150,5
78152,5
78155,5
78156,5
78157,5
78158,5
78159,4
78160,2
78161,1
78162,4
78164,4
78166,4
78167,2
78168,3
78170,3
78171,3
78172,3
78173,2
78174,3
78175,5
78177,2
78179,4
78182,5
78184,5
78186,1
78190,3
78191,1
78192,4
78194,5
78197,5
78198,3
78203,5
78204,3
78207,3
78208,3
78211,3
78214,5
78218,4
78219,2
78221,4
78222,5
78223,2
78224,5
78225,5
78226,5
78227,5
78228,5
78229,4
78230,5
78231,4
78232,5
78233,5
78234,5
78235,5
78238,5
78239,5
78240,2
78242,5
78244,3
78247,5
78252,5
78254,3
78256,5
78260,1
78262,5
78263,5
78264,5
78265,3
78266,4
78267,1
78268,4
78269,1
78270,5
78271,5
78272,5
78274,5
78277,5
78280,5
78282,1
78286,3
78288,5
78289,3
78290,3
78291,4
78293,5
78294,5
78296,5
78297,4
78300,4
78306,1
78310,2
78312,5
78319,3
78324,4
78325,4
78326,5
78327,5
78328,5
78329,1
78330,5
78331,5
78332,5
78333,4
78334,4
78335,5
78336,5
78338,5
78339,5
78340,5
78343,2
78344,4
78345,5
78346,5
78351,4
78355,5
78359,4
78360,5
78361,4
78362,5
78364,5
78365,5
78366,5
78371,4
78372,3
78373,4
78374,5
78375,5
78376,5
78377,5
78379,5
78380,4
78383,5
78386,5
78390,4
78395,5
78397,5
78400,5
78401,4
78403,4
78405,5
78406,5
78408,5
78410,5
78411,5
78414,5
78415,5
78417,5
78420,5
78422,5
78424,5
78427,4
78429,5
78430,5
78431,5
78434,5
78435,5
78436,5
78439,4
78442,5
78443,5
78445,5
78446,5
78449,5
78450,5
78451,5
78452,1
78454,5
78455,3
78456,5
78458,5
78459,5
78460,5
78461,5
78462,5
78464,5
78468,5
78469,5
78471,5
78472,3
78473,5
78474,5
78475,5
78476,5
78477,5
78479,5
78480,5
78481,5
78482,5
78483,5
78484,5
78485,5
78486,2
78487,5
78490,5
78500,5
78503,4
78504,5
78505,4
78506,5
78508,5
78509,3
78510,1
78511,4
78512,3
78522,1
78524,3
78525,5
78530,4
78533,2
78535,5
78536,4
78538,5
78539,2
78541,5
78542,3
78543,4
78544,2
78545,1
78546,1
78548,5
78549,4
78550,5
78552,3
78557,5
78558,5
78559,5
78560,5
78561,1
78562,4
78563,5
78564,5
78565,2
78568,1
78569,4
78570,4
78571,4
78572,5
78573,5
78574,4
78575,5
78577,5
78578,4
78579,4
78581,5
78584,5
78585,4
78588,5
78589,2
78590,5
78592,4
78597,4
78599,5
78600,4
78605,4
78613,3
78616,4
78621,4
78623,2
78626,4
78631,5
78638,5
78639,5
78641,5
78643,4
78652,5
78657,1
78658,5
78660,5
78661,4
78662,4
78663,3
78664,5
78665,5
78666,5
78667,4
78668,5
78669,5
78670,5
78671,5
78673,5
78678,4
78684,4
78685,3
78686,5
78687,5
78707,5
78710,5
78712,5
78713,4
78714,4
78715,5
78716,5
78717,4
78719,5
78720,5
78742,5
78744,4
78746,4
78748,3
78752,4
78765,5
78766,4
78768,5
78769,5
78771,5
78773,4
78775,1
78778,5
78782,3
78783,4
78788,4
78796,4
78797,5
78802,3
78803,5
78804,3
78805,5
78806,4
78807,5
78808,5
78812,5
78813,5
78814,5
78816,4
78817,4
78818,5
78820,5
78822,5
78823,5
78824,4
78825,5
78827,5
78828,2
78829,3
78830,5
78832,5
78833,5
78839,5
78841,4
78842,5
78843,4
78846,5
78854,5
78856,4
78859,5
78860,5
78861,4
78864,4
78865,3
78866,5
78867,5
78870,5
78871,5
78872,4
78879,5
78880,5
78884,5
78887,4
78888,3
78889,5
78890,5
78891,5
78892,5
78894,5
78895,5
78896,4
78897,5
78898,4
78900,5
78901,5
78902,5
78903,1
78904,5
78908,3
78909,3
78910,5
78911,3
78912,5
78916,3
78918,4
78920,5
78921,4
78922,4
78923,4
78924,5
78925,5
78926,5
78927,4
78928,5
78929,5
78930,5
78931,5
78932,5
78935,2
78936,5
78937,5
78941,1
78944,4
78946,5
78949,5
78950,4
78953,4
78954,5
78959,5
78963,5
78965,5
78967,4
78970,2
78972,4
78974,5
78977,4
78979,4
78980,5
78985,5
78986,5
78987,5
78988,5
78989,5
78990,5
78991,4
78992,5
78993,4
78994,3
78999,3
79000,2
79003,5
79013,5
79015,4
79045,3
79055,2
79060,5
79061,4
79075,3
79076,2
79078,4
